Gaokao2023-Math-En pass@8: 0.7922 (305/385)
minervamath pass@8: 0.6213 (169/272)
MATH-500 pass@8: 0.8560 (428/500)
gsm8k pass@8: 0.9659 (1274/1319)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 mean: 0.7481 (288/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 min: 0.7429 (286/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 max: 0.7403 (285/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 product: 0.7481 (288/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 geom_mean: 0.7532 (290/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.7143 (275/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 min: 0.7351 (283/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 max: 0.7117 (274/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 product: 0.7325 (282/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.7143 (275/385)
minervamath Qwen2.5-Math-PRM-7B@8 mean: 0.5441 (148/272)
minervamath Qwen2.5-Math-PRM-7B@8 min: 0.5625 (153/272)
minervamath Qwen2.5-Math-PRM-7B@8 max: 0.5515 (150/272)
minervamath Qwen2.5-Math-PRM-7B@8 product: 0.5478 (149/272)
minervamath Qwen2.5-Math-PRM-7B@8 geom_mean: 0.5478 (149/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.5257 (143/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 min: 0.5221 (142/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 max: 0.5368 (146/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 product: 0.5294 (144/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.5294 (144/272)
MATH-500 Qwen2.5-Math-PRM-7B@8 mean: 0.8260 (413/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 min: 0.8220 (411/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 max: 0.8260 (413/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 product: 0.8260 (413/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 geom_mean: 0.8240 (412/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.7920 (396/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 min: 0.7800 (390/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 max: 0.8120 (406/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 product: 0.7840 (392/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.7880 (394/500)
gsm8k Qwen2.5-Math-PRM-7B@8 mean: 0.9522 (1256/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 min: 0.9507 (1254/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 max: 0.9591 (1265/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 product: 0.9515 (1255/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 geom_mean: 0.9522 (1256/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.9530 (1257/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 min: 0.9447 (1246/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 max: 0.9530 (1257/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 product: 0.9492 (1252/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.9530 (1257/1319)
